Hole Depth (feet),Bit Depth (feet),Rate Of Penetration (ft_per_hr),Weight on Bit (klbs),Rotary RPM (RPM),Standpipe Pressure (psi),Total Pump Output (gal_per_min),Differential Pressure (psi),Convertible Torque (kft_lb),Inclination (degrees),Azimuth (degrees),Gamma at Bit (api),Hook Load (klbs),Block Height (feet),Magnetic Toolface (degrees),Gravity Toolface (degrees),Rig Super State (unitless),Rig Sub State (unitless),RSS STEERING % (percent),RSS PRG STEERING % (percent),AutoDriller WOB SP (klbs),AutoDriller Diff Press SP (psi),AutoDriller On Bottom ROP Setpoint (ft_per_hr),YYYY/MM/DD,HH:MM:SS
1387,1387,111.61,28.5,30.42,2006.01,632.56,642.84,12.51,91.18,165.83,66.5,113.8,5.2,113.49,163.13,1,1,6,0,28,1000,375,9/14/2024,5:48:13
1388,1388,41.54,11.2,30.19,2583.5,893.02,130.11,6.61,91.18,165.83,66.5,132.6,97.8,113.49,163.13,1,1,6,0,35,1000,375,9/14/2024,5:52:24
1389,1389,164.16,34.9,40.93,3181,897.02,743.14,14.49,91.18,165.83,66.5,110.2,97.4,113.49,163.13,1,1,6,0,35,1000,375,9/14/2024,5:52:34
1390,1390,335.12,36.5,41.56,3271.01,897.02,776.88,16.544,91.18,165.83,66.5,102.6,96.4,113.49,163.13,1,1,6,0,35,1000,375,9/14/2024,5:52:44
1391,1391,352.37,37,41.44,3247.26,896.35,800.91,16.133,91.18,165.83,66.5,100.4,95.4,113.49,163.13,1,1,6,0,35,1000,375,9/14/2024,5:52:55
1392,1392,334.15,37,41.88,3236,897.02,767.14,16.842,91.18,165.83,66.5,102.8,94.4,113.49,163.13,1,1,6,0,35,1000,375,9/14/2024,5:53:06
1393,1393,338.59,38,42.1,3334.76,897.02,821.75,17.627,91.18,165.83,66.5,100.7,93.4,113.49,163.13,1,1,6,0,40,1000,375,9/14/2024,5:53:16
1394,1394,358.09,38.5,42.31,3277.25,897.02,800.78,16.954,91.18,165.83,66.5,99.5,92.4,113.49,163.13,1,1,6,0,40,1000,425,9/14/2024,5:53:26
1395,1395,363.04,45.2,41.76,3348.51,896.35,896.89,17.141,91.18,165.83,66.5,93.4,91.4,113.49,163.13,1,1,6,0,44,1000,425,9/14/2024,5:53:36
1396,1396,361.16,45.1,41.62,3363.5,897.02,891.47,18.672,91.18,165.83,66.5,91.6,90.4,113.49,174.38,1,1,6,0,44,1250,425,9/14/2024,5:53:46
1397,1397,373.07,44.5,41.47,3372.25,897.02,867.91,16.954,91.18,165.83,57.71,90.3,89.4,113.49,174.38,1,1,6,0,44,1250,425,9/14/2024,5:53:55
1398,1398,390.08,45.8,41.65,3308.51,896.35,859.54,16.469,91.18,165.83,57.71,95.3,88.4,113.49,174.38,1,1,6,0,44,1250,425,9/14/2024,5:54:04
1399,1399,402.17,45.4,41.19,3318.51,896.35,848.49,16.32,91.18,165.83,57.71,91.2,87.4,113.49,168.75,1,1,6,0,44,1250,475,9/14/2024,5:54:13
1400,1400,413.47,45.1,41.47,3349.75,896.35,877.01,16.506,91.18,165.83,40.78,91.3,86.4,113.49,168.75,1,1,6,0,44,1250,475,9/14/2024,5:54:21
1401,1401,425.91,44.4,41.36,3356.01,896.35,868.94,16.17,91.18,165.83,40.78,89.1,85.4,113.49,168.75,1,1,6,0,44,1250,475,9/14/2024,5:54:29
1402,1402,435.4,44.4,41.13,3298.51,895.69,858.77,15.797,91.18,165.83,40.78,89.3,84.4,113.49,168.75,1,1,6,0,44,1250,475,9/14/2024,5:54:37
1403,1403,438.03,45.4,41.39,3346.01,895.69,892.05,15.983,91.18,165.83,40.78,89.2,83.4,113.49,168.75,1,1,6,0,44,1250,475,9/14/2024,5:54:46
1404,1404,437.78,44.8,41.33,3337.25,896.35,859.15,15.983,91.18,165.83,40.78,89.6,82.4,113.49,174.38,1,1,6,0,44,1250,475,9/14/2024,5:54:54
1405,1405,430.67,44,41.39,3348.51,896.35,882.59,15.535,91.18,165.83,52.07,89.8,81.4,113.49,174.38,1,1,6,0,44,1250,475,9/14/2024,5:55:03
1406,1406,432.66,44.1,41.04,3324.75,897.02,880.1,17.104,91.18,165.83,52.07,90.3,80.3,113.49,163.13,1,1,6,0,44,1250,525,9/14/2024,5:55:11
1407,1407,449.15,44.5,41.13,3302.25,896.35,856.51,15.797,91.18,165.83,52.07,90.8,79.4,113.49,174.38,1,1,6,0,44,1250,525,9/14/2024,5:55:18
1408,1408,461.6,44.5,41.33,3272.26,897.02,814.12,15.423,91.18,165.83,52.07,90.2,78.4,113.49,174.38,1,1,6,0,44,1250,525,9/14/2024,5:55:26
1409,1409,473.26,46.7,41.16,3249.75,896.35,822.82,15.311,91.18,165.83,52.07,91.3,77.4,113.49,174.38,1,1,6,0,45,1250,525,9/14/2024,5:55:33
1410,1410,476.79,46.7,41.04,3349.75,896.35,863.74,15.685,91.18,165.83,51.44,87.7,76.4,113.49,-163.13,1,1,6,0,45,1250,525,9/14/2024,5:55:41
1411,1411,476,47.1,41.42,3353.51,896.35,879.66,16.917,91.18,165.83,51.44,88.9,75.4,113.49,-146.25,1,1,6,0,45,1250,525,9/14/2024,5:55:50
1412,1412,455.81,46.6,41.5,3362.26,897.02,897.6,16.917,91.18,165.83,51.44,89.5,74.4,113.49,-146.25,1,1,6,0,45,1250,525,9/14/2024,5:55:57
1413,1413,442.84,48.7,41.04,3327.26,896.35,869.82,16.917,91.18,165.83,52.69,88.9,73.4,113.49,-146.25,1,1,6,0,45,1250,525,9/14/2024,5:56:06
1414,1414,442.59,47,41.24,3379.76,896.35,912.95,17.104,91.18,165.83,52.69,92.3,72.4,113.49,-140.63,1,1,6,0,45,1250,525,9/14/2024,5:56:14
1415,1415,434.83,47.1,41.16,3409.76,896.35,913.26,17.776,91.18,165.83,52.69,86.9,71.4,113.49,-140.63,1,1,6,0,45,1250,525,9/14/2024,5:56:24
1416,1416,422.69,46.3,41.39,3358.5,897.02,912.05,17.216,91.18,165.83,48.3,87.7,70.3,113.49,-140.63,1,1,6,0,45,1250,525,9/14/2024,5:56:32
1417,1417,413.91,46.1,41.19,3352.26,896.35,887.36,16.133,91.18,165.83,48.3,87.5,69.4,113.49,-140.63,1,1,6,0,45,1250,525,9/14/2024,5:56:41
1418,1418,409.01,45,41.44,3374.76,897.02,879.59,16.506,91.18,165.83,48.3,90.1,68.4,113.49,-151.88,1,1,6,0,45,1250,525,9/14/2024,5:56:49
1419,1419,419.93,46.9,41.47,3391,895.69,905.74,16.581,91.18,165.83,48.3,87.5,67.4,113.49,-129.38,1,1,6,0,45,1250,525,9/14/2024,5:56:58
1420,1420,420.2,46,41.27,3364.75,897.02,901.55,16.32,91.18,165.83,48.3,87.7,66.4,113.49,-129.38,1,1,6,0,45,1250,525,9/14/2024,5:57:07
1421,1421,423.88,46.2,41.22,3364.75,896.35,917.66,16.842,91.18,165.83,63.36,88.6,65.4,113.49,-129.38,1,1,6,0,45,1250,525,9/14/2024,5:57:15
1422,1422,429.57,49.1,41.01,3384.75,896.35,918.95,16.544,91.18,165.83,63.36,88.6,64.4,113.49,-135,1,1,6,0,45,1250,525,9/14/2024,5:57:25
1423,1423,422.28,47.7,41.36,3428.51,896.35,952.16,17.44,91.18,165.83,63.36,91.4,63.4,113.49,-135,1,1,6,0,45,1250,525,9/14/2024,5:57:34
1424,1424,386.28,46,41.27,3406,896.35,934.21,17.291,91.18,165.83,57.71,88.9,62.4,113.49,-135,1,1,6,0,45,1250,525,9/14/2024,5:57:42
1425,1425,409.95,47.2,41.47,3406,896.35,945.99,16.693,91.18,165.83,57.71,88.4,61.4,113.49,-123.75,1,1,6,0,45,1250,525,9/14/2024,5:57:52
1426,1426,410.08,46,41.19,3394.76,895.69,918.21,17.029,91.18,165.83,57.71,88.7,60.4,113.49,-157.5,1,1,6,0,45,1250,525,9/14/2024,5:58:01
1427,1427,401.22,46.3,41.47,3417.25,896.35,926.6,16.32,91.18,165.83,67.75,88,59.4,113.49,-157.5,1,1,6,0,45,1250,525,9/14/2024,5:58:10
1428,1428,397.41,46.4,41.36,3408.51,896.35,938.69,16.768,91.18,165.83,67.75,89.3,58.4,113.49,146.25,1,1,6,0,45,1250,525,9/14/2024,5:58:19
1429,1429,399.58,47.8,41.36,3396.01,896.35,921.01,16.656,91.18,165.83,67.75,94,57.4,113.49,157.5,1,1,6,0,45,1250,525,9/14/2024,5:58:27
1430,1430,406.28,46.6,41.67,3356.01,896.35,907.77,16.768,91.18,165.83,49.56,90.1,56.4,113.49,157.5,1,1,6,0,45,1250,525,9/14/2024,5:58:36
1431,1431,407.51,47.5,41.96,3397.25,897.02,926.04,17.403,91.18,165.83,49.56,89.8,55.4,113.49,157.5,1,1,6,0,45,1250,525,9/14/2024,5:58:45
1432,1432,422.44,46.5,41.33,3411,896.35,927.13,17.291,91.18,165.83,49.56,90.4,54.4,113.49,157.5,1,1,6,0,45,1250,525,9/14/2024,5:58:53
1433,1433,429.25,47.9,41.22,3407.26,896.35,955.51,17.179,91.18,165.83,49.56,89.1,53.3,113.49,163.13,1,1,6,0,45,1250,525,9/14/2024,5:59:02
1434,1434,429.09,48.5,41.19,3394.76,896.35,952.33,17.067,91.18,165.83,49.56,91.8,52.4,113.49,163.13,1,1,6,0,45,1250,525,9/14/2024,5:59:11
1435,1435,405.86,45.5,41.33,3376.01,896.35,916.78,15.797,91.18,165.83,68.38,88.2,51.4,113.49,163.13,1,1,6,0,45,1250,575,9/14/2024,5:59:19
1436,1436,433.15,46.5,41.27,3383.5,895.69,935.37,17.253,91.18,165.83,68.38,90.1,50.4,113.49,163.13,1,1,6,0,45,1250,575,9/14/2024,5:59:27
1437,1437,445.04,50.9,41.39,3419.76,896.35,943.15,17.701,91.18,165.83,68.38,92.1,49.4,113.49,163.13,1,1,6,0,45,1250,575,9/14/2024,5:59:36
1438,1438,445.02,47.4,41.39,3409.76,896.35,949.93,17.029,91.18,165.83,67.12,88.6,48.4,113.49,163.13,1,1,6,0,45,1250,575,9/14/2024,5:59:45
1439,1439,423.88,46.9,41.5,3422.26,896.35,945.04,15.983,91.18,165.83,67.12,88.2,47.4,113.49,157.5,1,1,6,0,45,1250,575,9/14/2024,5:59:54
1440,1440,400.37,47.6,41.22,3394.76,896.35,931.52,17.141,91.18,165.83,67.12,91.8,46.4,113.49,151.88,1,1,6,0,45,1250,575,9/14/2024,6:00:02
1441,1441,427.03,51.1,41.56,3452.25,895.69,956.72,17.179,91.18,165.83,67.12,93.7,45.4,113.49,151.88,1,1,6,0,45,1250,575,9/14/2024,6:00:11
1442,1442,433.9,46.2,41.56,3441.01,895.69,966.97,16.357,91.18,165.83,74.65,87.7,44.4,113.49,151.88,1,1,6,0,45,1250,575,9/14/2024,6:00:19
1443,1443,426.93,47.1,41.47,3388.51,895.69,938.27,16.208,91.18,165.83,74.65,93.2,43.4,113.49,157.5,1,1,6,0,45,1250,575,9/14/2024,6:00:27
1444,1444,424.82,48.4,41.04,3433.51,895.69,966.49,17.104,91.18,165.83,74.65,86.9,42.4,113.49,157.5,1,1,6,0,45,1250,575,9/14/2024,6:00:38
1445,1445,408.63,45.4,41.67,3437.26,896.35,962.39,16.88,91.18,165.83,62.73,89.1,41.4,113.49,157.5,1,1,6,0,45,1250,575,9/14/2024,6:00:47
1446,1446,373.8,46.1,41.76,3428.51,896.35,955.22,16.058,91.18,165.83,62.73,90.6,40.4,113.49,157.5,1,1,6,0,45,1250,575,9/14/2024,6:00:55
1447,1447,428.48,46.8,41.16,3393.51,895.69,912.84,15.274,91.18,165.83,62.73,88.8,39.4,113.49,157.5,1,1,6,0,45,1250,575,9/14/2024,6:01:02
1448,1448,477.59,47.3,41.65,3329.75,895.69,882.1,15.423,91.18,165.83,62.73,89.5,38.4,113.49,157.5,1,1,6,0,45,1250,575,9/14/2024,6:01:09
1449,1449,494.92,47.6,41.1,3406,896.35,961.65,16.656,91.18,165.83,62.73,89.6,37.4,113.49,163.13,1,1,6,0,45,1250,575,9/14/2024,6:01:18
1450,1450,494.39,47.6,41.62,3442.26,896.35,984.4,18.448,91.18,165.83,69.01,89.9,36.4,113.49,163.13,1,1,6,0,45,1250,575,9/14/2024,6:01:26
1451,1451,458.17,44.3,41.22,3387.26,895.69,928.66,16.544,91.18,165.83,69.01,89.2,35.4,113.49,168.75,1,1,6,0,45,1250,575,9/14/2024,6:01:33
1452,1452,478.73,50.2,41.47,3381.01,896.35,916.83,16.058,91.18,165.83,69.01,89.2,34.4,113.49,157.5,1,1,6,0,45,1250,575,9/14/2024,6:01:41
1453,1453,493.48,46.6,41.65,3441.01,895.69,969.03,16.992,91.18,165.83,69.01,92.9,33.4,113.49,157.5,1,1,6,0,45,1250,575,9/14/2024,6:01:48
1454,1454,492.41,50.3,41.59,3432.25,896.35,986.88,17.589,91.18,165.83,80.3,87.4,32.4,113.49,157.5,1,1,6,0,45,1250,575,9/14/2024,6:01:57
1455,1455,449.37,47.2,41.5,3391,895.69,931.74,16.021,91.18,165.83,80.3,87.6,31.4,113.49,157.5,1,1,6,0,45,1250,575,9/14/2024,6:02:06
1456,1456,413.94,47.1,41.67,3417.25,895.69,941.88,16.805,91.18,165.83,80.3,86.6,30.4,113.49,151.88,1,1,6,0,45,1250,575,9/14/2024,6:02:16
1457,1457,395.1,47.6,41.5,3438.5,895.69,945.53,16.432,91.18,165.83,80.3,85.9,29.4,113.49,151.88,1,1,6,0,50,1250,575,9/14/2024,6:02:26
1458,1458,374.57,56.6,41.27,3496.01,895.69,1019.56,17.963,91.18,165.83,85.32,80,28.4,113.49,157.5,1,1,6,0,55,1250,700,9/14/2024,6:02:35
1459,1459,408.22,54.3,41.16,3506,897.02,1023.14,17.813,91.18,165.83,85.32,78.2,27.4,113.49,157.5,1,1,6,0,60,1250,700,9/14/2024,6:02:42
1460,1460,451.36,60.9,41.39,3474.76,895.69,1045.57,18.262,91.18,165.83,82.81,74.3,26.4,113.49,151.88,1,1,6,0,60,1250,700,9/14/2024,6:02:49
1461,1461,501.58,60.8,41.36,3523.51,895.02,1049.48,18.672,91.18,165.83,82.81,71.3,25.4,113.49,151.88,1,1,6,0,60,1500,700,9/14/2024,6:02:56
1462,1462,526.6,60.1,41.1,3526,895.69,1052.84,19.083,91.18,165.83,82.81,71.6,24.3,113.49,163.13,1,1,6,0,60,1500,700,9/14/2024,6:03:02
1463,1463,533.84,62.1,42.08,3566.01,895.02,1095.59,19.233,91.18,165.83,82.81,71.9,23.4,113.49,163.13,1,1,6,0,60,1500,700,9/14/2024,6:03:09
1464,1464,533.37,60.7,41.65,3567.25,895.03,1096.67,20.017,91.18,165.83,82.81,70.1,22.4,113.49,163.13,1,1,6,0,60,1500,700,9/14/2024,6:03:15
1465,1465,533.59,61.6,41.73,3537.26,895.02,1084.83,19.83,91.18,165.83,82.81,70.3,21.4,113.49,151.88,1,1,6,0,60,1500,700,9/14/2024,6:03:23
1466,1466,527.18,60.7,41.47,3562.26,895.69,1095.74,18.71,91.18,165.83,67.75,69.5,20.4,113.49,151.88,1,1,6,0,60,1500,700,9/14/2024,6:03:30
1467,1467,519.09,60.6,41.3,3552.26,896.35,1100.79,18.56,91.18,165.83,67.75,71.7,19.4,113.49,151.88,1,1,6,0,60,1500,700,9/14/2024,6:03:36
1468,1468,515.72,63.3,41.76,3598.51,895.69,1091.21,20.054,91.18,165.83,67.75,70.4,18.4,113.49,163.13,1,1,6,0,63,1500,700,9/14/2024,6:03:46
1469,1469,499.76,66.7,41.42,3623.51,895.69,1149.43,20.054,91.18,165.83,67.75,69.4,17.4,113.49,163.13,1,1,6,0,63,1500,700,9/14/2024,6:03:55
1470,1470,423.28,65.2,41.59,3608.5,895.69,1182.07,21.735,91.18,165.83,87.2,67.6,16.3,113.49,174.38,1,1,6,0,63,1500,700,9/14/2024,6:04:03
1471,1471,405.18,66.8,51.69,3838.5,895.69,1407.07,25.357,91.18,165.83,87.2,76.7,15.4,113.49,174.38,1,1,6,0,63,1500,700,9/14/2024,6:04:14
1472,1472,391.76,58.1,50.08,3522.26,895.69,1075.6,18.822,91.18,165.83,87.2,78.5,14.4,113.49,174.38,1,1,6,0,63,1500,700,9/14/2024,6:04:19
1473,1473,424.13,60.5,51.26,3457.26,895.69,1000.7,18.448,91.18,165.83,87.2,71.8,13.3,113.49,163.13,1,1,6,0,63,1500,700,9/14/2024,6:04:25
1474,1474,529.46,61.5,51.03,3499.75,895.02,1031.08,18.336,91.18,165.83,63.36,67.5,12.4,113.49,163.13,1,1,6,0,63,1500,700,9/14/2024,6:04:30
1475,1475,630.22,63.1,51.49,3497.26,895.69,1026.78,17.701,91.18,165.83,63.36,67.9,11.4,113.49,163.13,1,1,6,0,63,1500,700,9/14/2024,6:04:35
1476,1476,678.47,63.2,51.6,3501.01,895.69,1027.74,18.747,91.18,165.83,63.36,68.2,10.4,113.49,180,1,1,6,0,63,1500,700,9/14/2024,6:04:41
1477,1477,683.76,64.2,51.43,3516.01,896.35,1044.46,19.046,91.18,165.83,63.36,68.7,9.4,113.49,174.38,1,1,6,0,63,1500,700,9/14/2024,6:04:46
1478,1478,681.16,64.1,51.29,3571.01,895.69,1070.66,18.859,91.18,165.83,63.36,67.2,8.3,113.49,174.38,1,1,6,0,63,1500,700,9/14/2024,6:04:52
1479,1479,667.71,63.2,51.29,3472.25,895.69,1034.17,17.589,91.18,165.83,90.96,68.6,7.4,113.49,174.38,1,1,6,0,63,1500,700,9/14/2024,6:04:57
1480,1480,653.13,60.3,51.2,3444.75,896.35,976.27,17.104,91.18,165.83,90.96,70.6,6.4,113.49,174.38,1,1,6,0,63,1500,700,9/14/2024,6:05:03
1481,1481,654.81,64,51.46,3431,895.69,1019.44,17.104,91.18,165.83,90.96,66.7,5.4,113.49,174.38,1,1,6,0,63,1500,700,9/14/2024,6:05:08
1482,1482,667.82,64.1,51.83,3512.25,895.02,1042.26,18.822,91.18,165.83,90.96,80.3,4.4,113.49,174.38,1,1,6,0,63,1500,700,9/14/2024,6:05:14
1483,1483,131.69,48.4,50.97,3632.26,897.02,828.59,21.137,91.18,165.83,90.96,131.2,97.9,113.49,174.38,1,1,6,0,63,1500,700,9/14/2024,6:08:41
1484,1484,273.09,64.1,52.29,3889.76,895.69,1242.83,23.154,91.18,165.83,90.96,78.3,96.7,113.49,174.38,1,1,6,0,63,1500,700,9/14/2024,6:08:49
1485,1485,426.98,64.7,51.35,3861.01,895.02,1215.9,24.199,91.18,165.83,90.96,71.4,95.8,113.49,174.38,1,1,6,0,63,1500,700,9/14/2024,6:08:58
1486,1486,434.94,64.5,51.03,3752.26,895.69,1147.73,23.527,91.18,165.83,90.96,74.2,94.8,113.49,174.38,1,1,6,0,63,1500,700,9/14/2024,6:09:06
1487,1487,419.97,65.6,52.21,3779.76,895.02,1170.53,25.133,91.18,165.83,90.96,72.2,93.8,113.49,174.38,1,1,6,0,63,1500,700,9/14/2024,6:09:15
1488,1488,418.44,65.4,52.41,3733.51,895.02,1116.56,24.872,91.18,165.83,90.96,74,92.8,113.49,174.38,1,1,6,0,63,1500,700,9/14/2024,6:09:25
1489,1489,403.88,64.5,52.35,3779.76,895.69,1139.52,26.216,91.18,165.83,90.96,75.6,91.7,113.49,174.38,1,1,6,0,63,1500,700,9/14/2024,6:09:35
1490,1490,378.72,64.2,52.41,3728.51,895.69,1149.1,23.789,91.18,165.83,90.96,90.3,90.7,113.49,174.38,1,1,6,0,63,1500,700,9/14/2024,6:09:43
1491,1491,403.63,59,51.43,3489.76,895.02,891.49,19.457,91.18,165.83,90.96,83.2,89.7,113.49,174.38,1,1,6,0,63,1500,700,9/14/2024,6:09:48
1492,1492,492.02,64.6,51.38,3558.51,895.69,930.94,19.419,91.18,165.83,90.96,76.8,88.7,113.49,174.38,1,1,6,0,63,1500,700,9/14/2024,6:09:54
1493,1493,574.95,63.8,51.38,3552.26,895.69,913.04,20.726,91.18,165.83,90.96,75.4,87.7,113.49,174.38,1,1,6,0,63,1500,700,9/14/2024,6:10:00
1494,1494,609.62,63.3,51.38,3492.25,895.69,868.94,18.598,91.18,165.83,90.96,80.9,86.7,113.49,174.38,1,1,6,0,63,1500,700,9/14/2024,6:10:05
1495,1495,628.75,60.4,50.8,3503.51,895.03,864.52,18.598,91.18,165.83,90.96,79.1,85.7,113.49,174.38,1,1,6,0,63,1500,800,9/14/2024,6:10:10
1496,1496,649.61,66,50.94,3574.75,895.69,943.95,18.784,91.18,165.83,90.96,72.9,84.7,113.49,174.38,1,1,6,0,63,1500,800,9/14/2024,6:10:16
1497,1497,659.73,65.5,50.69,3563.51,895.02,943.97,19.457,91.18,165.83,90.96,71.6,83.7,113.49,174.38,1,1,6,0,63,1500,800,9/14/2024,6:10:22
1498,1498,658.89,65,50.63,3584.76,895.02,1007.85,18.598,91.18,165.83,90.96,70.5,82.7,113.49,174.38,1,1,6,0,63,1500,800,9/14/2024,6:10:28
1499,1499,638.3,62.8,50.63,3593.51,895.69,941.31,17.813,91.18,165.83,90.96,71.1,81.6,113.49,174.38,1,1,6,0,63,1500,800,9/14/2024,6:10:34
1500,1500,617.87,62.2,50.51,3567.25,895.69,937.31,16.581,91.18,165.83,90.96,71.1,80.6,113.49,174.38,1,1,6,0,63,1500,800,9/14/2024,6:10:39
1501,1501,629.17,62.4,50.4,3588.5,895.03,925.49,17.029,91.18,165.83,90.96,70.6,79.7,113.49,174.38,1,1,6,0,63,1500,800,9/14/2024,6:10:44
1502,1502,648.39,63.3,50.4,3573.5,895.02,923.76,17.963,91.18,165.83,90.96,69.2,78.7,113.49,174.38,1,1,6,0,63,1500,800,9/14/2024,6:10:49
1503,1503,665.91,64.9,50.54,3607.25,895.03,993.69,19.307,91.18,165.83,90.96,71.2,77.7,113.49,174.38,1,1,6,0,63,1500,800,9/14/2024,6:10:55
1504,1504,666.92,64.4,50.46,3629.75,895.02,993.44,18.635,3.67,218.65,90.96,70.8,76.7,113.49,163.13,1,1,6,0,63,1500,800,9/14/2024,6:11:01
1505,1505,659.36,64.3,50.77,3553.5,895.02,959.26,18.747,3.67,218.65,90.96,74.9,75.7,113.49,163.13,1,1,6,0,63,1500,800,9/14/2024,6:11:07
1506,1506,637.51,64.3,50.2,3529.76,895.69,910.83,16.394,3.67,218.65,90.96,73.9,74.7,113.49,163.13,1,1,6,0,63,1500,800,9/14/2024,6:11:12
1507,1507,636.84,64,50.74,3577.26,895.02,922.23,17.179,3.67,218.65,85.94,70.6,73.7,113.49,163.13,1,1,6,0,63,1500,800,9/14/2024,6:11:18
1508,1508,657.77,66,50.66,3438.5,895.69,865.77,16.021,3.67,218.65,85.94,84.5,72.6,113.49,174.38,1,1,6,0,63,1500,800,9/14/2024,6:11:23
1509,1509,676,51,50.23,3287.26,896.35,793.63,13.855,3.67,218.65,85.94,82.3,71.7,113.49,174.38,1,1,6,0,63,1500,800,9/14/2024,6:11:27
1510,1510,704.93,56.4,50.86,3386.01,895.69,731.37,14.714,3.67,218.65,85.94,77.4,70.7,113.49,-157.5,1,1,6,0,63,1500,800,9/14/2024,6:11:32
1511,1511,732.5,58.1,50.51,3359.76,895.69,740.21,14.714,3.67,218.65,85.94,75.5,69.6,113.49,-157.5,1,1,6,0,63,1500,800,9/14/2024,6:11:37
1512,1512,764.16,66.6,50.14,3409.76,895.02,740.21,19.046,3.67,218.65,87.82,73.7,68.6,113.49,-157.5,1,1,6,0,63,1500,800,9/14/2024,6:11:41
1513,1513,767.38,69.9,51.2,3826,895.02,1198.69,23.714,3.67,218.65,87.82,74.3,67.7,113.49,-157.5,1,1,6,0,63,1500,750,9/14/2024,6:11:51
1514,1514,688.97,64.9,51.2,3709.75,895.02,1198.69,20.166,3.67,218.65,87.82,75.3,66.7,113.49,-174.38,1,1,6,0,63,1500,750,9/14/2024,6:11:58
1515,1515,526.23,60.5,50.46,3588.5,895.02,951.17,18.037,3.67,218.65,87.82,74.1,65.7,113.49,-174.38,1,1,6,0,63,1500,750,9/14/2024,6:12:03
1516,1516,501.31,63,50.23,3561,895.03,942.14,17.701,3.67,218.65,87.82,72,64.7,113.49,-174.38,1,1,6,0,63,1500,750,9/14/2024,6:12:09
1517,1517,581.49,61.6,50.72,3558.51,895.02,888.11,17.067,3.67,218.65,87.82,70.4,63.7,113.49,-174.38,1,1,6,0,63,1500,750,9/14/2024,6:12:14
1518,1518,648.13,63.4,50.23,3561,895.02,936.18,17.664,3.67,218.65,87.82,69,62.7,113.49,-174.38,1,1,6,0,63,1500,750,9/14/2024,6:12:20
1519,1519,673.33,65.7,50.54,3616,895.03,968.4,17.851,3.67,218.65,67.75,74,61.6,113.49,-168.75,1,1,6,0,63,1500,750,9/14/2024,6:12:25
1520,1520,674.9,64.3,50.23,3614.75,895.69,969.13,18.075,3.67,218.65,67.75,68.2,60.7,113.49,-168.75,1,1,6,0,63,1500,750,9/14/2024,6:12:31
1521,1521,671.03,65,50.37,3572.26,895.69,958.96,18.149,3.67,218.65,67.75,72,59.7,113.49,-168.75,1,1,6,0,63,1500,750,9/14/2024,6:12:37
1522,1522,648.13,63.5,50.63,3551.01,895.03,947.31,18.598,3.67,218.65,67.75,71.7,58.7,113.49,-168.75,1,1,6,0,63,1500,750,9/14/2024,6:12:42
1523,1523,631.2,66.2,50.86,3606.01,895.02,967.16,18.149,3.67,218.65,93.47,71.1,57.7,113.49,-168.75,1,1,6,0,63,1500,750,9/14/2024,6:12:49
